side,entry_type,entry_idx,entry_time,entry_price,stop_level,tp_level,close_idx,close_time,close_price,stop_hit,tp_hit,be_active,zone_label,zone_start,zone_end,zone_low,zone_high,bos_time
long,P,203,1609779600,1.22899,1.22836,1.2302500000000003,204,1609779900,1.22836,True,False,False,Demand,1609758000,1609780500,1.22789,1.22848,1609762200
short,P,412,1609842300,1.22694,1.22786,1.2250999999999999,418,1609844100,1.22723,False,False,False,Supply,1609836600,1609844100,1.22718,1.22745,1609839600
long,P,560,1609886700,1.2296,1.22951,1.2300049999999998,561,1609887000,1.22951,True,False,False,Demand,1609880700,1609887600,1.22896,1.22954,1609883400
short,P,575,1609891200,1.22964,1.23018,1.22829,600,1609898700,1.23018,True,False,False,Supply,1609885200,1609898700,1.22997,1.23012,1609887600
long,P,407,1609840800,1.22611,1.22551,1.22731,411,1609842000,1.22731,False,True,False,Demand,1609815300,1609901700,1.22542,1.2257,1609821000
long,P,407,1609840800,1.22611,1.22551,1.22731,411,1609842000,1.22731,False,True,False,Demand,1609819500,1609905900,1.22569,1.22587,1609822800
short,P,654,1609914900,1.22976,1.23065,1.2279799999999998,674,1609920900,1.2303,False,False,False,Supply,1609902000,1609920900,1.23029,1.23154,1609904400
long,P,743,1609941600,1.23367,1.23336,1.2346000000000001,745,1609942200,1.2346000000000001,False,True,False,Demand,1609933500,1609944900,1.23295,1.2334,1609939800
long,P,771,1609950000,1.23021,1.2293,1.23203,774,1609950900,1.2293,True,False,False,Demand,1609916400,1609959900,1.2291,1.22941,1609920300
long,P,833,1609968600,1.23069,1.2298,1.2324700000000002,837,1609969800,1.2299,False,False,False,Demand,1609963200,1609969800,1.22969,1.23001,1609965300
short,P,843,1609971600,1.23315,1.23399,1.23147,880,1609982700,1.23399,True,False,False,Supply,1609946700,1609982700,1.2339,1.23448,1609948200
short,P,843,1609971600,1.23315,1.23399,1.23147,880,1609982700,1.23399,True,False,False,Supply,1609947900,1609983600,1.23332,1.2337,1609948800
short,P,1037,1610029800,1.22637,1.22689,1.2250699999999997,1039,1610030400,1.22689,True,False,False,Supply,1610021100,1610030400,1.22679,1.22744,1610023800
long,P,1136,1610059500,1.22649,1.22632,1.227,1140,1610060700,1.22632,True,False,False,Demand,1610048400,1610065200,1.2259,1.22639,1610055900
long,P,1065,1610038200,1.22606,1.22534,1.2274999999999996,1071,1610040000,1.22534,True,False,False,Demand,1610028300,1610075400,1.2251,1.22544,1610030400
long,P,1338,1610120100,1.22458,1.22342,1.2269,1340,1610120700,1.2269,False,True,False,Demand,1610106600,1610126400,1.22275,1.22345,1610114100
long,P,1338,1610120100,1.22458,1.22342,1.2269,1340,1610120700,1.2269,False,True,False,Demand,1610110800,1610128200,1.22326,1.22406,1610113500
short,P,1342,1610121300,1.22578,1.22792,1.2215000000000005,1348,1610123100,1.22792,True,False,False,Supply,1610098500,1610128800,1.22591,1.22625,1610114700
short,P,1427,1610146800,1.22233,1.22264,1.2213999999999998,1428,1610147100,1.22264,True,False,False,Supply,1610136000,1610147100,1.2225,1.22298,1610137200
long,P,1553,1610358000,1.21809,1.21766,1.2191649999999998,1559,1610359800,1.2191649999999998,False,True,False,Demand,1610351100,1610365200,1.21742,1.21769,1610352600
long,P,1768,1610422500,1.21443,1.21404,1.2154049999999996,1805,1610433600,1.21404,True,False,False,Demand,1610384400,1610433600,1.21323,1.21406,1610387400
long,P,1850,1610447100,1.21594,1.21507,1.2176799999999999,1856,1610448900,1.21507,True,False,False,Demand,1610439600,1610449800,1.21488,1.21515,1610443200
short,P,1853,1610448000,1.21628,1.21672,1.2151800000000001,1856,1610448900,1.2151800000000001,False,True,True,Supply,1610443800,1610450700,1.21663,1.21754,1610445900
long,P,1911,1610465400,1.21537,1.21463,1.21685,1913,1610466000,1.21463,True,False,False,Demand,1610457600,1610466000,1.21408,1.21476,1610461500
long,P,2098,1610521500,1.22108,1.22086,1.2217399999999996,2105,1610523600,1.22086,True,False,False,Demand,1610508000,1610523600,1.22049,1.22102,1610511300
short,P,2187,1610548200,1.21677,1.21723,1.2156199999999995,2188,1610548500,1.21723,True,False,False,Supply,1610544300,1610548800,1.21719,1.21777,1610546100
long,P,2181,1610546400,1.21649,1.21608,1.2175150000000001,2190,1610549100,1.2175150000000001,False,True,True,Demand,1610477400,1610553000,1.21588,1.2162,1610479500
short,P,2618,1610677500,1.21583,1.21625,1.2147799999999997,2619,1610677800,1.21586,False,False,False,Supply,1610666400,1610677800,1.21584,1.21615,1610669700
short,P,2651,1610687400,1.21517,1.21546,1.2143000000000004,2655,1610688600,1.2154,False,False,False,Supply,1610679600,1610688600,1.21536,1.21574,1610682900
long,P,2663,1610691000,1.21478,1.21464,1.21541,2664,1610691300,1.21464,True,False,False,Demand,1610684400,1610691300,1.21433,1.21466,1610688000
long,P,2679,1610695800,1.21407,1.2139,1.21458,2681,1610696400,1.2139,True,False,False,Demand,1610647200,1610696700,1.2132,1.21391,1610648700
long,P,2745,1610715600,1.21275,1.21261,1.2133800000000001,2747,1610716200,1.21261,True,False,False,Demand,1610707800,1610718600,1.21216,1.21266,1610712000
short,P,2577,1610665200,1.21637,1.21652,1.2159199999999997,2581,1610666400,1.2159199999999997,False,True,True,Supply,1610654100,1610740500,1.21645,1.21784,1610658000
short,P,2877,1610928300,1.2079,1.20847,1.20676,2890,1610932200,1.20806,False,False,False,Supply,1610747100,1610932200,1.20803,1.20836,1610753400
short,P,2894,1610933400,1.20818,1.20864,1.2070300000000003,2898,1610934600,1.2070300000000003,False,True,True,Supply,1610742000,1611001500,1.20851,1.20883,1610746800
long,P,3165,1611014700,1.2076,1.20745,1.2080500000000003,3167,1611015300,1.20745,True,False,False,Demand,1611003600,1611019200,1.20737,1.20747,1611013800
short,P,3402,1611085800,1.21231,1.21264,1.2113200000000002,3426,1611093000,1.21264,True,False,False,Supply,1611079800,1611093000,1.21263,1.21341,1611083400
long,P,3278,1611048600,1.20896,1.20854,1.2100100000000003,3281,1611049500,1.2100100000000003,False,True,False,Demand,1611024900,1611111300,1.20831,1.20861,1611030000
long,P,3576,1611138000,1.21457,1.21402,1.2159449999999996,3578,1611138600,1.21412,False,False,False,Demand,1611128700,1611138600,1.21404,1.21414,1611131700
long,P,3388,1611081600,1.21216,1.21158,1.2133199999999995,3466,1611105000,1.2133199999999995,False,True,False,Demand,1611056100,1611142500,1.21098,1.21174,1611060300
short,P,3662,1611163800,1.21019,1.21083,1.2089100000000002,3663,1611164100,1.21083,True,False,False,Supply,1611158700,1611164100,1.21082,1.21136,1611161700
short,P,3859,1611222900,1.21247,1.21352,1.21037,3870,1611226200,1.21352,True,False,False,Supply,1611218100,1611226200,1.21346,1.21363,1611220200
long,P,4149,1611309900,1.21594,1.21532,1.2171800000000002,4152,1611310800,1.21532,True,False,False,Demand,1611262200,1611310800,1.21513,1.21537,1611266400
short,P,4167,1611315300,1.21703,1.21789,1.2153100000000003,4179,1611318900,1.21723,False,False,False,Supply,1611302100,1611318900,1.21712,1.21723,1611306000
long,P,4212,1611328800,1.2159,1.21552,1.21685,4219,1611330900,1.21685,False,True,True,Demand,1611310800,1611570300,1.21515,1.21558,1611316800
short,P,4477,1611581400,1.21571,1.21614,1.2146350000000004,4481,1611582600,1.21614,True,False,False,Supply,1611573000,1611582600,1.21613,1.21657,1611575100
short,P,4599,1611618000,1.21409,1.21418,1.2136849999999992,4600,1611618300,1.21418,True,False,False,Supply,1611608700,1611618300,1.21417,1.21444,1611613800
long,P,4629,1611627000,1.21401,1.21374,1.21482,4631,1611627600,1.21374,True,False,False,Demand,1611613800,1611627600,1.2136,1.21377,1611624000
long,P,4440,1611570300,1.21714,1.21684,1.2180400000000007,4447,1611572400,1.21684,True,False,False,Demand,1611548700,1611635100,1.21669,1.21688,1611552000
short,P,4782,1611672900,1.2146,1.21489,1.2137299999999995,4790,1611675300,1.21489,True,False,False,Supply,1611590700,1611677100,1.21489,1.21526,1611604500
short,P,4923,1611715200,1.21641,1.21682,1.215385,4966,1611728100,1.215385,False,True,True,Supply,1611702900,1611789300,1.21663,1.21667,1611707100
long,P,5200,1611798300,1.20998,1.20944,1.21133,5205,1611799800,1.20969,False,False,False,Demand,1611787500,1611799800,1.20952,1.20992,1611789300
short,P,5144,1611781500,1.21129,1.21288,1.20811,5295,1611826800,1.20811,False,True,False,Supply,1611752100,1611838500,1.21272,1.21329,1611754800
short,P,5144,1611781500,1.21129,1.21288,1.20811,5295,1611826800,1.20811,False,True,False,Supply,1611754500,1611840900,1.21207,1.21231,1611758700
long,P,5536,1611899100,1.21004,1.20982,1.2107000000000003,5537,1611899400,1.20982,True,False,False,Demand,1611841800,1611899700,1.20961,1.20987,1611890700
long,P,5529,1611897000,1.21056,1.20998,1.2117200000000001,5534,1611898500,1.20998,True,False,False,Demand,1611848400,1611899700,1.20921,1.20999,1611890700
short,P,5600,1611918300,1.21132,1.21194,1.2100799999999998,5609,1611921000,1.21194,True,False,False,Supply,1611886500,1611921000,1.21194,1.21214,1611888600
short,P,5624,1611925500,1.21313,1.21373,1.2119300000000002,5629,1611927000,1.21347,False,False,False,Supply,1611871800,1611927000,1.21342,1.21375,1611874500
short,P,5624,1611925500,1.21313,1.21373,1.2119300000000002,5630,1611927300,1.21373,True,False,False,Supply,1611870000,1611927300,1.21353,1.21399,1611872700
long,P,5972,1612203000,1.20803,1.20791,1.2085699999999995,5973,1612203300,1.20791,True,False,False,Demand,1612191600,1612203300,1.20722,1.20795,1612195800
short,P,6161,1612259700,1.20696,1.2076,1.20568,6163,1612260300,1.20725,False,False,False,Supply,1612254300,1612260300,1.20717,1.20728,1612256700
short,P,6167,1612261500,1.20779,1.20828,1.2065649999999997,6168,1612261800,1.2081,False,False,False,Supply,1612246800,1612261800,1.208,1.20825,1612253100
short,P,5953,1612197300,1.20968,1.20992,1.20896,5956,1612198200,1.20896,False,True,False,Supply,1612179300,1612265700,1.2098,1.21042,1612181100
short,P,6604,1612392600,1.20319,1.20357,1.2022399999999998,6605,1612392900,1.20357,True,False,False,Supply,1612349700,1612392900,1.20339,1.20378,1612353000
short,P,6451,1612346700,1.20332,1.20421,1.2015399999999998,6464,1612350600,1.2015399999999998,False,True,False,Supply,1612339200,1612404900,1.20417,1.20444,1612341900
short,P,7030,1612520400,1.19782,1.19827,1.1966950000000005,7037,1612522500,1.19827,True,False,False,Supply,1612458300,1612523400,1.19799,1.19843,1612462200
short,P,7062,1612530000,1.19717,1.19787,1.1957700000000002,7065,1612530900,1.19729,False,False,False,Supply,1612465200,1612530900,1.19721,1.19746,1612471500
short,P,7081,1612535700,1.19894,1.19929,1.1980649999999997,7092,1612539000,1.19894,True,False,True,Supply,1612452900,1612539300,1.19909,1.19957,1612454100
long,P,7273,1612766400,1.20366,1.20354,1.2041999999999995,7275,1612767000,1.20354,True,False,False,Demand,1612759800,1612773000,1.2033,1.20357,1612764600
short,P,7312,1612778100,1.20435,1.20487,1.2030499999999997,7319,1612780200,1.2030499999999997,False,True,False,Supply,1612749900,1612801800,1.20484,1.20527,1612752900
long,P,7371,1612795800,1.20261,1.20197,1.20389,7383,1612799400,1.20389,False,True,False,Demand,1612544100,1612803600,1.20164,1.20209,1612548300
short,P,7458,1612821900,1.20525,1.20575,1.2039999999999995,7465,1612824000,1.20575,True,False,False,Supply,1612805700,1612824000,1.20569,1.20609,1612813800
short,P,7715,1612899000,1.21057,1.21091,1.20955,7718,1612899900,1.21091,True,False,False,Supply,1612874400,1612899900,1.21085,1.21132,1612879200
short,P,8083,1613009400,1.21189,1.212,1.2113949999999996,8089,1613011200,1.2113949999999996,False,True,True,Supply,1612998300,1613019000,1.21197,1.2122,1613008200
short,P,7958,1612971900,1.21343,1.21395,1.2121299999999997,7975,1612977000,1.21343,True,False,True,Supply,1612954500,1613040900,1.21393,1.2144,1612956000
